ID,Name,Proponent,CCB Project Type,Distinctions,Status,Country/Area,Region,CCB Standard Edition
5200,Together for the Forest Awaeté REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold; Biodiversity Gold,Under validation,Brazil,Latin America,CCB Third Edition
5183,Zhangye Improved Grassland Management Project Phase II,"Zhangye Agricultural Development Investment Group Co.,Ltd.",Agricultural Land Management,,Under validation,China,Asia,CCB Third Edition
5172,Project Akwaaba | Forest Ecosystem Restoration in Ghana,Rainforest Builder Ltd.,"Afforestation, Reforestation and Revegetation",Biodiversity Gold,Under validation,Ghana,Africa,CCB Third Edition
5131,Appalachian Valley IFM Project,CNX Green Ventures LLC,Improved Forest Management,,Under validation,United States,North America,CCB Third Edition
5112,Wuhu Improved Agricultural Land Management Project,"Zoomlion Smart Agriculture Co., Ltd.",Agricultural Land Management,,Under validation,China,Asia,CCB Third Edition
5092,Zhiduo Sustainable Grassland Management Project,"Hangzhou Chaoteng Energy Technology Co., Ltd",Agricultural Land Management,,Under validation and verification,China,,CCB Third Edition
5084,Gannan Improved Grassland Management Project,"Gannan Asset Investment Management Group Co., Ltd.",Agricultural Land Management,,Under validation,China,Asia,CCB Third Edition
5077,SEIKOPAI REDD+,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold,Under validation,Peru,Latin America,CCB Third Edition
5063,Delta Blue Carbon 2,Blue Carbon Singapore Pte Limited,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Under validation,Pakistan,Asia,CCB Third Edition
5061,"Ganaderia y Bosques (GANBOS): Combining reforestation and rotational cattle grazing practices to restore degraded pastures in the provinces of Guanacaste, San Jose and Puntarenas in Costa Rica",rePLANET,"Afforestation, Reforestation and Revegetation",,Under validation,Costa Rica,Latin America,CCB Third Edition
5041,Village Forest Management and its Sustainability Development based on Natural Resources Conservation and Community Wellbeing in Malinau District,INPROSULA,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under validation,Indonesia,Asia,CCB Third Edition
5001,Butuo County Grassland Sustainable Management Project,Liangshan Modern Agricultural Silicon Valley Investment and Development Group Co.,Avoided Conversion of Grasslands and Shrublands,,Under validation,China,Asia,CCB Third Edition
4968,Nkuba REDD+ Project,Dian Fossey Gorilla Fund,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under validation and verification,"Congo, The Democratic Republic of The",Africa,CCB Third Edition
4967,PLUM Peat and Mangrove Conservation and Restoration Project (PLUM Project),PT. Pagatan Usaha Makmur,Reduced Emissions from Deforestation and Degradation,Climate Gold; Community Gold; Biodiversity Gold,Under validation,Indonesia,Asia,CCB Third Edition
4956,TAPERA AMAZONAS REDD+,Organica Consultoria LTDA,Reduced Emissions from Deforestation and Degradation,Gold,Under validation,Brazil,Latin America,CCB Third Edition
4939,TAPERA AMAZON REDD+,Organica Consultoria LTDA,Reduced Emissions from Deforestation and Degradation,,Suspended,Brazil,Latin America,CCB Third Edition
4906,RIMBA PAKAI KEMUKA ARI - Forest for Future,Yayasan Pelestari Ragamhayati dan Cipta Fondasi Indonesia,Reduced Emissions from Deforestation and Degradation,,Under validation,Indonesia,Asia,CCB Third Edition
4890,Regenerative Development of Anlo Wetlands Project,Terraformation Inc.,"Afforestation, Reforestation and Revegetation",,Under validation,Ghana,Africa,CCB Third Edition
4886,Tatuy REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under Verification,Brazil,Latin America,CCB Third Edition
4881,"TIST Program in Tanzania, VCS-CCB-011",Clean Air Action Corporation,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold; Biodiversity Gold,Under Verification,Tanzania,Africa,CCB Third Edition
4872,AFFORESTATION AND BIODIVERSITY CONSERVATION PROJECT IN WEST BENGAL,Intellecap Advisory Services Private Limited,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold,Under validation,India,Asia,CCB Third Edition
4865,OGA REDD+ PROJECT,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Brazil,Latin America,CCB Third Edition
4867,AHU REDD+ PROJECT,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,,Under validation and verification,Brazil,Latin America,CCB Third Edition
4860,Community Based Agroforestry Project,Intellecap Advisory Services Private Limited,"Afforestation, Reforestation and Revegetation",Community Gold,Under validation,India,Asia,CCB Third Edition
4857,AWA REDD+ PROJECT,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold,Under validation and verification,Brazil,Latin America,CCB Third Edition
4854,Reducción de la deforestación y degradación en el parque nacional Bahuaja sonene en la región Puno - Perú,Asociación para la Investigación y Desarrollo Integral – AIDER,Reduced Emissions from Deforestation and Degradation,Community Gold,Under validation and verification,Peru,Latin America,CCB Third Edition
4852,Expanding Green Cover though afforestation in the Himalayan Region of Uttarakhand through communities-leading towards ownership and sustainability,Multiple Proponents,"Afforestation, Reforestation and Revegetation",Climate Gold; Community Gold,Under validation,India,Asia,CCB Third Edition
4841,Ana Primavesi – Sustainable Farming and Restoration Program,Ubá Sustainability Institute,"Afforestation, Reforestation and Revegetation",,Under validation,Brazil,Latin America,CCB Third Edition
4834,Seringal Rio Branco REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Under validation,Brazil,Latin America,CCB Third Edition
4802,Rio Muru REDD+ Project,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Under Verification,Brazil,,CCB Third Edition
4796,CACHOEIRA PORTEIRA CONSERVATION PROJECT,Multiple Proponents,Improved Forest Management,Climate Gold; Community Gold; Biodiversity Gold,Under validation and verification,Brazil,Latin America,CCB Third Edition
4780,Sichuan Ganluo IFM (conversion of logged to protected forest) Project,"Chengdu Haisha Technology Co.,Ltd.",Improved Forest Management,,Under validation,China,Asia,CCB Third Edition
4773,Vencedor Guajoya REDD+,Multiple Proponents,Reduced Emissions from Deforestation and Degradation,Community Gold,Project withdrawn,Peru,Latin America,CCB Third Edition
4770,Xinjiang Fuyun Improved Grassland Management Project,"Xinjiang Fuyun County State-owned Assets Investment Management Co., Ltd.",Agricultural Land Management,,Under validation,China,,CCB Third Edition
4771,Xinjiang Kalamaili Improved Grassland Management Project,"Xinjiang Fuyun County State-owned Assets Investment Management Co., Ltd.",Agricultural Land Management,,Under validation,China,,CCB Third Edition
4765,Yabu Ala Improved Grassland Management Project,"Inner Mongolia Cili Agricultural Development Co., Ltd.",Agricultural Land Management,,Rejected by Administrator,China,Asia,CCB Third Edition
4766,Tamusu Improved Grassland Management Project,"Inner Mongolia Chengyao Grassland, Forestry and Animal Husbandry Ecological Technology Co., Ltd.",Agricultural Land Management,,Under validation and verification,China,Asia,CCB Third Edition
4756,Bahenap Village Forest Project,Bentang Kalimantan Tangguh,Reduced Emissions from Deforestation and Degradation,,Under validation,Indonesia,Asia,CCB Third Edition
4747,Pantanal REDD+ Program,Biofilica Ambipar Environmental Investments S.A,Reduced Emissions from Deforestation and Degradation,Climate Gold; Biodiversity Gold,Under validation,Brazil,Latin America,CCB Third Edition
4748,RESTORED PRODUCTIVE LANDSCAPES IN THE MAGDALENA RIVER MIDDLE BASIN IN COLOMBIA,FUNDACIÓN PROYECTO PRIMATES - FPP,"Afforestation, Reforestation and Revegetation",Biodiversity Gold,Under validation,Colombia,Latin America,CCB Third Edition
4732,"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia",NatureRe Capital AG,"Afforestation, Reforestation and Revegetation",,Under validation,Colombia,Latin America,CCB Third Edition
4730,Xinjiang Habahe Improved Grassland Management Project,"Habahe Xinghua Agricultural Investment Development Co., Ltd.",Agricultural Land Management,,Under validation,China,Asia,CCB Third Edition
