ID,Name,Proponent,Project Type,Status,Country/Area,Average Amount of Plastic Waste Collected/Recycled,Region,Project Registration Date,Material Type
5204,Zhangyru Plast Plastic Recycling Project,Aqyl City LLP,Plastic Waste Recycling,Under Validation (public comment period closed),Kazakhstan,"8,061",Asia,,PET; PET bottle
5103,Plastic Waste Recycling Project by Emmbi Industries Ltd,Emmbi Industries Limited,Plastic Waste Recycling,Under Validation (public comment period closed),India,"5,860",Asia,,HDPE; LDPE; PP; PVC
5081,Tiê Tiê: recycling vulnerabilities into opportunities,Multiple Proponents,Plastic Waste Recycling,Under Validation (public comment period closed),Brazil,"3,917",Latin America,,HDPE; LDPE
5002,POLIBALBINO RECYCLING PROJECT IN BRAZIL,Polibalbino Termoplásticos,Plastic Waste Recycling,Registration and Verification Approval Requested,Brazil,"5,350",Latin America,,PET; PP; PS; PVC
4999,RePL Plastic Waste Reduction Program in Bangladesh,"H201 Co., Ltd",Plastic Waste Recycling,Withdrawn,Bangladesh,"8,000",Asia,,PET; PET bottle; PET durables; PET other rigid; PET thermoforms
4991,Revitalization,Airoi Inc,Plastic Waste Collection,Rejected by Administrator,India,"1,825",Asia,,HDPE; HDPE bottle; LDPE bottles; LDPE films and flexibles; Other Plastics; PET bottle; PET durables; PP
4988,Plastic Waste Recycling Project by Kundana Techno Tex Private Limited,KUNDANA TECHNO TEX PRIVATE LIMITED,Plastic Waste Recycling,Under Validation (public comment period closed),India,"36,302",Asia,,PET; PET bottle; PET other rigid
4965,costa rica makes me happy  CRMMH,makes me happy inc,Plastic Waste Collection; Plastic Waste Recycling,Under Validation (public comment period closed),Costa Rica,123,Latin America,,"Composite material; Composite materials, Multi-material packaging; Composite materials, Multi-material packaging flexibles; Composite materials, Non-packaging composite materials; EPS; EPS foam; Flexible material; HDPE; HDPE bottle; HDPE films; HDPE injection; HDPE other rigid; LDPE; LDPE bottles; LDPE films and flexibles; Other Plastics; Other Plastics, Acrylic or polymethyl methacrylate; Other Plastics, Acrylonitrile butadiene styrene (ABS); Other Plastics, Polyamide (nylon); Other Plastics, Polycarbonate; Other Plastics, Polylactic acid; PET; PET bottle; PET durables; PET other rigid; PET thermoforms; PP; PP bottle; PP bulky rigids; PP films and flexibles; PP other rigid; PS; PS injection; PVC; PVC bottles; PVC construction - flexible; PVC extrusion; PVC medical; PVC other rigid; Rigid material"
4959,PLASTIC WASTE RECYCLING PROJECT IN INDIA BY RECYCLE PLASTICS,Recycle Plastics,Plastic Waste Recycling,Under Validation and Verification (public comment period closed),India,"11,768",Asia,,HDPE; LDPE; Other Plastics; PET; PP; PS; PVC
4960,Biotrend  Turkey Waste Plastic Reduction Project,Multiple Proponents,Plastic Waste Collection,Under Validation (public comment period closed),Turkey,"37,578",Asia,,EPS; EPS foam; Flexible material; HDPE; HDPE bottle; HDPE films; LDPE; LDPE bottles; LDPE films and flexibles; PET; PET bottle; PET durables; PP; PP bottle; PP bulky rigids; PP films and flexibles; PS; PVC; Rigid material
