Issuance Date,Unit Type,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details,Material Type
24/09/2024,WRC,01/07/2021,31/10/2022,3964,ASASE Foundation Community-based Collection and Recycling Project,Ghana,Plastic Waste Collection; Plastic Waste Recycling,594,258,17176-11499-11756-PWRP-WRC-4196-VER-GH-3964-01072021-31102022-LDPE-EOL2-0,,16/10/2024,Pacifica,Environmental Benefit,Plastic footprint mitigation,PET
24/09/2024,WCC,01/07/2021,31/10/2022,3964,ASASE Foundation Community-based Collection and Recycling Project,Ghana,Plastic Waste Collection; Plastic Waste Recycling,"2,297","1,643",17177-11757-13399-PWRP-WCC-4196-VER-GH-3964-01072021-31102022-LDPE-EOL2-0,,,,,,PET
24/09/2024,WCC,01/07/2021,31/10/2022,3964,ASASE Foundation Community-based Collection and Recycling Project,Ghana,Plastic Waste Collection; Plastic Waste Recycling,"2,297",288,17178-13400-13687-PWRP-WCC-4196-VER-GH-3964-01072021-31102022-OTHER-EOL2-0,,16/10/2024,Pacifica,Environmental Benefit,Plastic footprint mitigation,PET
24/09/2024,WCC,01/07/2021,31/10/2022,3964,ASASE Foundation Community-based Collection and Recycling Project,Ghana,Plastic Waste Collection; Plastic Waste Recycling,"2,297",42,17178-13688-13729-PWRP-WCC-4196-VER-GH-3964-01072021-31102022-OTHER-EOL2-0,,,,,,PET
24/09/2024,WCC,01/07/2021,31/10/2022,3964,ASASE Foundation Community-based Collection and Recycling Project,Ghana,Plastic Waste Collection; Plastic Waste Recycling,"2,297",26,17179-13730-13755-PWRP-WCC-4196-VER-GH-3964-01072021-31102022-PET-EOL2-0,,,,,,PET
17/09/2024,WCC,01/01/2023,30/06/2023,2793,Starboard Plastic Offset Program (POP),Thailand,Plastic Waste Collection,53,9,17154-11121-11129-PWRP-WCC-4196-VER-TH-2793-01012023-30062023-RIGID-EOL2-0,,,,,,Other Plastics
17/09/2024,WCC,01/01/2022,31/12/2022,2793,Starboard Plastic Offset Program (POP),Thailand,Plastic Waste Collection,187,31,17155-11130-11160-PWRP-WCC-4196-VER-TH-2793-01012022-31122022-RIGID-EOL2-0,,,,,,Other Plastics
17/09/2024,WCC,01/01/2023,30/06/2023,2793,Starboard Plastic Offset Program (POP),Thailand,Plastic Waste Collection,53,43,17162-11189-11231-PWRP-WCC-4196-VER-TH-2793-01012023-30062023-OTHER-EOL6-0,,,,,,Other Plastics
17/09/2024,WCC,01/01/2022,31/12/2022,2793,Starboard Plastic Offset Program (POP),Thailand,Plastic Waste Collection,187,153,17163-11232-11384-PWRP-WCC-4196-VER-TH-2793-01012022-31122022-OTHER-EOL6-0,,,,,,Other Plastics
17/09/2024,WCC,01/01/2021,31/12/2021,2793,Starboard Plastic Offset Program (POP),Thailand,Plastic Waste Collection,87,72,17164-11385-11456-PWRP-WCC-4196-VER-TH-2793-01012021-31122021-OTHER-EOL6-0,,,,,,Other Plastics
