Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
16/05/2024,01: No Poverty; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,07/05/2022,31/10/2022,2673,UpEnergy-Social and Climate Impact Programme- Nigeria-1,Nigeria,Energy,"1,459","1,459",16684-788318277-788319735-VCS-VCU-1491-VER-NG-3-2673-07052022-31102022-1,01: No Poverty; 05: Gender Equality; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 12: Responsible Consumption and Production; 13: Climate Action; 15: Life on Land,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","2,000",16522-767002131-767004130-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,03/04/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",325,16522-767039131-767039455-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,02/05/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","5,406",16522-767057378-767062783-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,18/06/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","8,414",16522-767004131-767012544-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,06/05/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","17,734",16522-767039456-767057189-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,14/06/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","13,827",16522-767012545-767026371-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,06/05/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",46,16522-767026372-767026417-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,28/05/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",188,16522-767057190-767057377-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,10/07/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","12,713",16522-767026418-767039130-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",305,16522-767075094-767075398-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,01/08/2024,Oughtred Coffee and Tea Ltd.,Retirement for Person or Organization,Oughtred Coffee and Tea Ltd's purchase of 305 Darkwoods Forest Carbon project credits to offset Oughtred's GHG emissions..
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",300,16522-767062784-767063083-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,16/07/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899",800,16522-767063084-767063883-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,09/07/2024,,,
25/03/2024,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land,01/01/2020,31/12/2020,607,Darkwoods Forest Carbon Project,Canada,Agriculture Forestry and Other Land Use,"277,899","11,210",16522-767063884-767075093-VCS-VCU-261-VER-CA-14-607-01012020-31122020-1,06: Clean Water and Sanitation; 13: Climate Action; 15: Life on Land; CCB-Biodiversity Gold,16/07/2024,,,
